Episode_Title,Season_Episode,Season_Number,Episode_Rating,Series_Name
The Myth of the House: The Return,"S1, Ep6",S1,9.3,Paranormal
We Only See Each Other at Weddings and Funerals,"S1, Ep1",S1,7.9,The Umbrella Academy
Run Boy Run,"S1, Ep2",S1,7.8,The Umbrella Academy
Extra Ordinary,"S1, Ep3",S1,7.9,The Umbrella Academy
Man on the Moon,"S1, Ep4",S1,8.1,The Umbrella Academy
Number Five,"S1, Ep5",S1,8.3,The Umbrella Academy
The Day That Wasn't,"S1, Ep6",S1,8.4,The Umbrella Academy
The Day That Was,"S1, Ep7",S1,8.2,The Umbrella Academy
I Heard a Rumor,"S1, Ep8",S1,8.6,The Umbrella Academy
Changes,"S1, Ep9",S1,8.6,The Umbrella Academy
The White Violin,"S1, Ep10",S1,8.8,The Umbrella Academy
Right Back Where We Started,"S2, Ep1",S2,8.4,The Umbrella Academy
The Frankel Footage,"S2, Ep2",S2,8.2,The Umbrella Academy
The Swedish Job,"S2, Ep3",S2,8.4,The Umbrella Academy
The Majestic 12,"S2, Ep4",S2,8.2,The Umbrella Academy
Valhalla,"S2, Ep5",S2,8.3,The Umbrella Academy
A Light Supper,"S2, Ep6",S2,8.4,The Umbrella Academy
Öga for Öga,"S2, Ep7",S2,8.6,The Umbrella Academy
The Seven Stages,"S2, Ep8",S2,8.7,The Umbrella Academy
743,"S2, Ep9",S2,8.9,The Umbrella Academy
The End of Something,"S2, Ep10",S2,9.1,The Umbrella Academy
Out of the Past,"S1, Ep1",S1,8.0,Altered Carbon
Fallen Angel,"S1, Ep2",S1,7.9,Altered Carbon
In a Lonely Place,"S1, Ep3",S1,8.1,Altered Carbon
Force of Evil,"S1, Ep4",S1,8.6,Altered Carbon
The Wrong Man,"S1, Ep5",S1,8.4,Altered Carbon
Man with My Face,"S1, Ep6",S1,8.3,Altered Carbon
Nora Inu,"S1, Ep7",S1,8.3,Altered Carbon
Clash by Night,"S1, Ep8",S1,8.3,Altered Carbon
Rage in Heaven,"S1, Ep9",S1,8.5,Altered Carbon
The Killers,"S1, Ep10",S1,8.5,Altered Carbon
Phantom Lady,"S2, Ep1",S2,6.4,Altered Carbon
Payment Deferred,"S2, Ep2",S2,6.4,Altered Carbon
Nightmare Alley,"S2, Ep3",S2,6.7,Altered Carbon
Shadow of a Doubt,"S2, Ep4",S2,6.5,Altered Carbon
I Wake Up Screaming,"S2, Ep5",S2,6.5,Altered Carbon
Bury Me Dead,"S2, Ep6",S2,7.0,Altered Carbon
Experiment Perilous,"S2, Ep7",S2,6.6,Altered Carbon
Broken Angels,"S2, Ep8",S2,6.7,Altered Carbon
The End's Beginning,"S1, Ep1",S1,8.4,The Witcher
Four Marks,"S1, Ep2",S1,7.9,The Witcher
Betrayer Moon,"S1, Ep3",S1,8.7,The Witcher
"Of Banquets, Bastards and Burials","S1, Ep4",S1,8.6,The Witcher
Bottled Appetites,"S1, Ep5",S1,8.4,The Witcher
Rare Species,"S1, Ep6",S1,8.3,The Witcher
Before a Fall,"S1, Ep7",S1,8.5,The Witcher
Much More,"S1, Ep8",S1,8.9,The Witcher
Part One,"S1, Ep1",S1,9.0,When They See Us
Part Two,"S1, Ep2",S1,9.1,When They See Us
Part Three,"S1, Ep3",S1,8.5,When They See Us
Part Four,"S1, Ep4",S1,9.6,When They See Us
Filmed Before a Live Studio Audience,"S1, Ep1",S1,7.5,WandaVision
Don't Touch That Dial,"S1, Ep2",S1,7.8,WandaVision
Now in Color,"S1, Ep3",S1,8.2,WandaVision
We Interrupt This Program,"S1, Ep4",S1,8.9,WandaVision
On a Very Special Episode...,"S1, Ep5",S1,9.1,WandaVision
All-New Halloween Spooktacular!,"S1, Ep6",S1,8.9,WandaVision
Breaking the Fourth Wall,"S1, Ep7",S1,8.5,WandaVision
Previously On,"S1, Ep8",S1,9.0,WandaVision
The Series Finale,"S1, Ep9",S1,8.5,WandaVision
Incident on and Off a Mountain Road,"S1, Ep1",S1,6.5,Masters of Horror
Dreams in the Witch-House,"S1, Ep2",S1,6.5,Masters of Horror
Dance of the Dead,"S1, Ep3",S1,5.0,Masters of Horror
Jenifer,"S1, Ep4",S1,6.3,Masters of Horror
Chocolate,"S1, Ep5",S1,5.0,Masters of Horror
Homecoming,"S1, Ep6",S1,6.0,Masters of Horror
Deer Woman,"S1, Ep7",S1,6.4,Masters of Horror
John Carpenter's Cigarette Burns,"S1, Ep8",S1,7.6,Masters of Horror
The Fair Haired Child,"S1, Ep9",S1,6.5,Masters of Horror
